last_reported,is_installed,num_bikes_disabled,num_ebikes_available,num_bikes_available,eightd_has_available_keys,num_docks_available,station_id,station_status,is_returning,num_docks_disabled,is_renting,legacy_id
86400,0,0,0,0,False,0,423,out_of_service,0,0,0,423
1670206857,1,0,0,11,False,8,424,active,1,0,1,424
1670202385,1,0,0,11,False,5,425,active,1,0,1,425
1670218621,1,1,0,3,False,23,426,active,1,0,1,426
86400,0,0,0,0,False,0,427,out_of_service,0,0,0,427
86400,0,0,0,0,False,0,428,out_of_service,0,0,0,428
86400,0,0,0,0,False,0,430,out_of_service,0,0,0,430
86400,0,0,0,0,False,0,431,out_of_service,0,0,0,431
1670175413,1,0,0,16,False,3,432,active,1,0,1,432
1670147644,1,0,0,3,False,16,433,active,1,0,1,433
1670175189,1,0,0,4,False,15,434,active,1,0,1,434
86400,0,0,0,0,False,0,435,out_of_service,0,0,0,435
1670205103,1,0,0,12,False,3,436,active,1,0,1,436
1670214655,1,0,0,18,False,1,437,active,1,0,1,437
1670210087,1,0,0,2,False,5,440,active,1,0,1,440
1670199391,1,0,0,11,False,8,441,active,1,0,1,441
1670207956,1,0,0,13,False,2,442,active,1,0,1,442
1670176191,1,0,0,17,False,2,443,active,1,0,1,443
1670213884,1,0,0,4,False,15,445,active,1,0,1,445
1670214335,1,0,0,9,False,7,446,active,1,0,1,446
1670209402,1,0,0,8,False,11,447,active,1,0,1,447
86400,0,0,0,0,False,0,448,out_of_service,0,0,0,448
1670203184,1,0,0,9,False,6,452,active,1,0,1,452
86400,0,0,0,0,False,0,454,out_of_service,0,0,0,454
1670212161,1,0,0,3,False,9,455,active,1,0,1,455
1670216931,1,0,0,8,False,11,456,active,1,0,1,456
1670177785,1,0,0,5,False,10,458,active,1,0,1,458
86400,0,0,0,0,False,0,459,out_of_service,0,0,0,459
86400,0,0,0,0,False,0,460,out_of_service,0,0,0,460
1670204061,1,0,0,10,False,1,461,active,1,0,1,461
1670209871,1,0,0,4,False,7,462,active,1,0,1,462
1670210348,1,0,0,8,False,11,463,active,1,0,1,463
